mjd	field
60625.08333328842	ElaisS1
60631.04166662141	ElaisS1
60637.04166662106	ElaisS1
60643.08333328737	ElaisS1
60648.08333328708	ElaisS1
60654.08333328673	ElaisS1
60655.083333286675	ElaisS1
60662.08333328627	ElaisS1
60668.08333328592	ElaisS1
60674.08333328557	ElaisS1
60680.08333328522	ElaisS1
60822.41666661027	ElaisS1
60827.41666660998	ElaisS1
60832.416666609686	ElaisS1
60840.41666660922	ElaisS1
60843.416666609046	ElaisS1
60850.41666660864	ElaisS1
60857.41666660823	ElaisS1
60864.41666660782	ElaisS1
60865.416666607765	ElaisS1
60872.374999940694	ElaisS1
60879.374999940286	ElaisS1
60886.37499993988	ElaisS1
60893.416666606136	ElaisS1
60900.3333332724	ElaisS1
60901.24999993901	ElaisS1
60908.29166660527	ElaisS1
60915.29166660486	ElaisS1
60922.37499993778	ElaisS1
60922.37499993778	ElaisS1
60929.083333270726	ElaisS1
60936.249999936976	ElaisS1
60943.208333269904	ElaisS1
60950.33333326949	ElaisS1
60951.20833326944	ElaisS1
60958.041666602374	ElaisS1
60965.16666660196	ElaisS1
60972.12499993489	ElaisS1
60979.166666601144	ElaisS1
60981.12499993436	ElaisS1
60989.04166660057	ElaisS1
60996.083333266826	ElaisS1
61002.04166659981	ElaisS1
61009.08333326607	ElaisS1
61010.08333326601	ElaisS1
61017.083333265604	ElaisS1
61024.0833332652	ElaisS1
61030.08333326485	ElaisS1
61037.08333326444	ElaisS1
61040.083333264265	ElaisS1
61047.08333326386	ElaisS1
61234.41666658629	ElaisS1
61241.374999919215	ElaisS1
61248.41666658547	ElaisS1
61255.3749999184	ElaisS1
61256.29166658501	ElaisS1
61263.33333325127	ElaisS1
61269.33333325092	ElaisS1
61276.37499991718	ElaisS1
61283.29166658344	ElaisS1
61285.12499991667	ElaisS1
61292.249999916254	ElaisS1
61299.249999915846	ElaisS1
61306.37499991543	ElaisS1
61306.37499991543	ElaisS1
61312.04166658177	ElaisS1
61318.16666658141	ElaisS1
61323.16666658112	ElaisS1
61329.16666658077	ElaisS1
61334.16666658048	ElaisS1
61341.04166658008	ElaisS1
61347.12499991306	ElaisS1
61352.083333246104	ElaisS1
61358.083333245755	ElaisS1
61363.12499991213	ElaisS1
61370.08333324506	ElaisS1
61371.083333245	ElaisS1
61378.08333324459	ElaisS1
61385.08333324418	ElaisS1
61392.083333243776	ElaisS1
61392.083333243776	ElaisS1
61394.08333324366	ElaisS1
61401.08333324325	ElaisS1
61406.08333324296	ElaisS1
61411.08333324267	ElaisS1
61416.08333324238	ElaisS1
61416.08333324238	ElaisS1
61560.41666656731	ElaisS1
61572.41666656661	ElaisS1
61579.416666566205	ElaisS1
61581.41666656609	ElaisS1
61588.41666656568	ElaisS1
61595.416666565274	ElaisS1
61602.416666564866	ElaisS1
61609.41666656446	ElaisS1
61610.37499989774	ElaisS1
61617.37499989733	ElaisS1
61623.333333230315	ElaisS1
61630.37499989657	ElaisS1
61630.37499989657	ElaisS1
61637.3333332295	ElaisS1
61639.29166656272	ElaisS1
61646.29166656231	ElaisS1
61653.24999989524	ElaisS1
61660.374999894826	ElaisS1
61667.20833322776	ElaisS1
61668.08333322771	ElaisS1
61675.208333227296	ElaisS1
